host_original	host_final	host_group	records	normalization_rule	changed
Homo sapiens; male; 12 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 22 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 31 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 34 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 36 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 49 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 8 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; renal transplated patient	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Horse	Horse		3	UNCHANGED	NO
Inia boliviensis	Inia boliviensis		3	UNCHANGED	NO
Lontra longicaudis (neotropical river otter)	Lontra longicaudis (neotropical river otter)		3	UNCHANGED	NO
Mandrillus leucophaeus	Mandrillus leucophaeus		3	UNCHANGED	NO
Molossus molossus (bat)	Molossus molossus (bat)		3	UNCHANGED	NO
Mustela lutreola; male	Mustela lutreola		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Myotis daubentonii	Myotis daubentonii		3	UNCHANGED	NO
Myotis emarginatus	Myotis emarginatus		3	UNCHANGED	NO
Myotis escalerai	Myotis escalerai		3	UNCHANGED	NO
Myotis mystacinus	Myotis mystacinus		3	UNCHANGED	NO
Myotis oxyotus	Myotis oxyotus		3	UNCHANGED	NO
Myotis sp. (bat)	Myotis sp. (bat)		3	UNCHANGED	NO
Nasua nasua (South American coati)	Nasua nasua (South American coati)		3	UNCHANGED	NO
Nyctalus lasiopterus	Nyctalus lasiopterus		3	UNCHANGED	NO
Nyctalus leisleri	Nyctalus leisleri		3	UNCHANGED	NO
Oligoryzomys microtis (pygmy rice rat)	Oligoryzomys microtis (pygmy rice rat)		3	UNCHANGED	NO
Oryx gazella	Oryx gazella		3	UNCHANGED	NO
Otaria byronia	Otaria byronia		3	UNCHANGED	NO
Ovis aries (sheep)	Ovis aries (sheep)		3	UNCHANGED	NO
Ovis canadensis (bighorn sheep)	Ovis canadensis (bighorn sheep)		3	UNCHANGED	NO
Pan troglodytes (chimpanzee)	Pan troglodytes (chimpanzee)		3	UNCHANGED	NO
Papio anubis	Papio anubis		3	UNCHANGED	NO
Papio cynocephalus	Papio cynocephalus		3	UNCHANGED	NO
Phascolarctos cinereus	Phascolarctos cinereus		3	UNCHANGED	NO
Pipistrellus pipistrellus	Pipistrellus pipistrellus		3	UNCHANGED	NO
Plecotus austriacus	Plecotus austriacus		3	UNCHANGED	NO
Priodontes maximus (giant armadillo); female	Priodontes maximus (giant armadillo)		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Procyon lotor	Procyon lotor		3	UNCHANGED	NO
Pteronotus rubiginosus	Pteronotus rubiginosus		3	UNCHANGED	NO
Pteropus lylei	Pteropus lylei		3	UNCHANGED	NO
Puma concolor couguar	Puma concolor couguar		3	UNCHANGED	NO
Rangifer tarandus granti	Rangifer tarandus granti		3	UNCHANGED	NO
Rattus rattus (black rat)	Rattus rattus (black rat)		3	UNCHANGED	NO
Rhinolophus sinicus	Rhinolophus sinicus		3	UNCHANGED	NO
Sudan red-fronted gazelle	Sudan red-fronted gazelle		3	UNCHANGED	NO
Sus scrofa leucomystax (wild boar)	Sus scrofa leucomystax (wild boar)		3	UNCHANGED	NO
Symphalangus syndactylus	Symphalangus syndactylus		3	UNCHANGED	NO
Testudo sp.	Testudo sp.		3	UNCHANGED	NO
Thalassarche melanophris (Black-browed Albatross)	Thalassarche melanophris (Black-browed Albatross)		3	UNCHANGED	NO
Zalophus californianus; female	Zalophus californianus		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
bat	bat		3	UNCHANGED	NO
broiler flocks	Broiler flocks		3	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
calf (5 days)	calf (5 days)		3	UNCHANGED	NO
calf; sex: female	calf		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
dog; German shephred	dog		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
equus caballus	Equus caballus		3	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
naturally infected dairy cow infected during a respiratory outbreak	naturally infected dairy cow infected during a respiratory outbreak		3	UNCHANGED	NO
rabbit	rabbit		3	UNCHANGED	NO
rat	rat		3	UNCHANGED	NO
snow leopard	Snow leopard		3	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
vaccinated Indian Native Aseel Chicken breed	vaccinated Indian Native Aseel Chicken breed		3	UNCHANGED	NO
Accipiter gentilis	Accipiter gentilis		2	UNCHANGED	NO
Acerodon celebensis	Acerodon celebensis		2	UNCHANGED	NO
Aedes	Aedes		2	UNCHANGED	NO
Aethomys kaiseri	Aethomys kaiseri		2	UNCHANGED	NO
Alouatta seniculus	Alouatta seniculus		2	UNCHANGED	NO
Anas platyrhynchos (duck)	Anas platyrhynchos (duck)		2	UNCHANGED	NO
Anas platyrhynchos domesticus (duck); breed Khaki Campbell	Anas platyrhynchos domesticus (duck)		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Anas poecilorhyncha	Anas poecilorhyncha		2	UNCHANGED	NO
Anoura geoffroyi	Anoura geoffroyi		2	UNCHANGED	NO
Anser albifrons	Anser albifrons		2	UNCHANGED	NO
Antidorcas marsupialis (Springbok)	Antidorcas marsupialis (Springbok)		2	UNCHANGED	NO
Antilope cervicapra	Antilope cervicapra		2	UNCHANGED	NO
Aotus trivirgatus	Aotus trivirgatus		2	UNCHANGED	NO
Arab-Barb	Arab-Barb		2	UNCHANGED	NO
Arctocephalus forsteri	Arctocephalus forsteri		2	UNCHANGED	NO
Arvicanthis niloticus	Arvicanthis niloticus		2	UNCHANGED	NO
Ateles belzebuth	Ateles belzebuth		2	UNCHANGED	NO
Ateles sp.	Ateles sp.		2	UNCHANGED	NO
Bos frontalis	Bos frontalis		2	UNCHANGED	NO
Bos gaurus frontalis	Bos gaurus frontalis		2	UNCHANGED	NO
Bos javanicus (Banteng cattle)	Bos javanicus (Banteng cattle)		2	UNCHANGED	NO
Bos taurus (bovine)	Bos taurus (bovine)		2	UNCHANGED	NO
Bos taurus breed Holestien	Bos taurus breed Holestien		2	UNCHANGED	NO
Broiler Flocks	Broiler flocks		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Bubo bubo (Eurasian eagle owl)	Bubo bubo (Eurasian eagle owl)		2	UNCHANGED	NO
Bubo virginianus	Bubo virginianus		2	UNCHANGED	NO
Buteo buteo	Buteo buteo		2	UNCHANGED	NO
CEF	CEF		2	UNCHANGED	NO
Callithrix jacchus (marmoset)	Callithrix jacchus (marmoset)		2	UNCHANGED	NO
Callithrix penicillata	Callithrix penicillata		2	UNCHANGED	NO
Callorhinus ursinus	Callorhinus ursinus		2	UNCHANGED	NO
Canis latrans	Canis latrans		2	UNCHANGED	NO
Canis lupus	Canis lupus		2	UNCHANGED	NO
Cape blue duiker	Cape blue duiker		2	UNCHANGED	NO
Capra aegagrus (goat)	Capra aegagrus (goat)		2	UNCHANGED	NO
Capra caucasica	Capra caucasica		2	UNCHANGED	NO
Capra ibex	Capra ibex		2	UNCHANGED	NO
Cebus	Cebus		2	UNCHANGED	NO
Cebus albifrons	Cebus albifrons		2	UNCHANGED	NO
Cebus sp.	Cebus sp.		2	UNCHANGED	NO
Cercopithecus cephus	Cercopithecus cephus		2	UNCHANGED	NO
Cercopithecus neglectus	Cercopithecus neglectus		2	UNCHANGED	NO
Cervus elaphus barbarus	Cervus elaphus barbarus		2	UNCHANGED	NO
Cervus unicolor	Cervus unicolor		2	UNCHANGED	NO
Chacma baboon	Chacma baboon		2	UNCHANGED	NO
Chelonia mydas (Green Sea Turtle)	Chelonia mydas (Green Sea Turtle)		2	UNCHANGED	NO
Chelonia mydas (Green sea turtle)	Chelonia mydas (Green sea turtle)		2	UNCHANGED	NO
Chelonia mydas/Eretmochelys imbricata hybrid	Chelonia mydas/Eretmochelys imbricata hybrid		2	UNCHANGED	NO
Cochin chicken	Cochin chicken		2	UNCHANGED	NO
Common marmoset	Common marmoset		2	UNCHANGED	NO
Coturnix japonica	Coturnix japonica		2	UNCHANGED	NO
Delphinapterus leucas (beluga whale); male; 15-20-year-old	Delphinapterus leucas (beluga whale)		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas (beluga whale); sex: male; neonate	Delphinapterus leucas (beluga whale)		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas; juvenile; male	Delphinapterus leucas		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Dolichotis patagonum	Dolichotis patagonum		2	UNCHANGED	NO
Duck	Duck		2	UNCHANGED	NO
Elephas maximus; Vinodh, a 24-month old calf	Elephas maximus		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Elephas maximus; male; born 06-Aug-2009 and died 13-Apr-2011	Elephas maximus		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Ellipsen waterbuck	Ellipsen waterbuck		2	UNCHANGED	NO
Eptesicus furinalis (bat)	Eptesicus furinalis (bat)		2	UNCHANGED	NO
Eptesicus fuscus	Eptesicus fuscus		2	UNCHANGED	NO
Equus asinus somalicus (Somali wild ass)	Equus asinus somalicus (Somali wild ass)		2	UNCHANGED	NO
Equus caballus; breed: Arabian	Equus caballus		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Eurasian badger (Meles meles)	Eurasian badger (Meles meles)		2	UNCHANGED	NO
Falco mexicanus	Falco mexicanus		2	UNCHANGED	NO
Falco peregrinus	Falco peregrinus		2	UNCHANGED	NO
Felis	Felis		2	UNCHANGED	NO
Felis catus; Sarman	Felis catus		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Galictis cuja (lesser grison)	Galictis cuja (lesser grison)		2	UNCHANGED	NO
Gallus gallus (chicken)	Gallus gallus (chicken)		2	UNCHANGED	NO
Gallus gallus domesticus (Domestic chicken)	Gallus gallus domesticus (Domestic chicken)		2	UNCHANGED	NO
Geospiza fuliginosa	Geospiza fuliginosa		2	UNCHANGED	NO
Gerrhosaurus major (Sudan plated lizard)	Gerrhosaurus major (Sudan plated lizard)		2	UNCHANGED	NO
Hippocamelus bisulcus	Hippocamelus bisulcus		2	UNCHANGED	NO
Hippopotamus amphibius	Hippopotamus amphibius		2	UNCHANGED	NO
Hippotragus equinus	Hippotragus equinus		2	UNCHANGED	NO
Homo sapience	Homo sapience		2	UNCHANGED	NO
Homo sapiens; 3-year old boy	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 8-year old girl	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; case of gingivostomatitis	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 29 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 30 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 65 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 85 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male 48 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 28 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 33 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 38 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 39 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 40 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 47 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 48 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 53 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 58 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 61 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 68 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 69 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 70 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 71 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 74 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 77 year-old	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; sex: female	Homo sapiens		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo spioens	Homo spioens		2	UNCHANGED	NO
Hypsugo savii	Hypsugo savii		2	UNCHANGED	NO
Indian sambar	Indian sambar		2	UNCHANGED	NO
Indo-Pacific humpback dolphin	Indo-Pacific humpback dolphin		2	UNCHANGED	NO
Javan rusa	Javan rusa		2	UNCHANGED	NO
Kobus ellipsiprymnus	Kobus ellipsiprymnus		2	UNCHANGED	NO
Lagenorhynchus obliquidens	Lagenorhynchus obliquidens		2	UNCHANGED	NO
Lagothrix sp.; female	Lagothrix sp.		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Lemur catta	Lemur catta		2	UNCHANGED	NO
Leontocebus sp.; male	Leontocebus sp.		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Leopardus pardalis (ocelot)	Leopardus pardalis (ocelot)		2	UNCHANGED	NO
Macaca arctoides	Macaca arctoides		2	UNCHANGED	NO
Macaca nemestrina (pig-tailed macaque)	Macaca nemestrina (pig-tailed macaque)		2	UNCHANGED	NO
Macaca silenus	Macaca silenus		2	UNCHANGED	NO
Macropodidae	Macropodidae		2	UNCHANGED	NO
Macropus giganteus (eastern grey kangaroo)	Macropus giganteus (eastern grey kangaroo)		2	UNCHANGED	NO
Mandrillus leucophaeus/sphinx	Mandrillus leucophaeus/sphinx		2	UNCHANGED	NO
Meles meles	Meles meles		2	UNCHANGED	NO
Mephitis mephitis	Mephitis mephitis		2	UNCHANGED	NO
Molossus coibensis	Molossus coibensis		2	UNCHANGED	NO
Mus musculus domesticus	Mus musculus domesticus		2	UNCHANGED	NO
Mus musculus musculus	Mus musculus musculus		2	UNCHANGED	NO
Myotis myotis	Myotis myotis		2	UNCHANGED	NO
Myotis ricketti	Myotis ricketti		2	UNCHANGED	NO
Myotis velifer incautus; sex: F; dev_stage: adult	Myotis velifer incautus		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Nankeen kestrel	Nankeen kestrel		2	UNCHANGED	NO
Nannopterum brasilianus	Nannopterum brasilianus		2	UNCHANGED	NO
Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise)	Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise)		2	UNCHANGED	NO
Neoromicia helios	Neoromicia helios		2	UNCHANGED	NO
Nyctereutes procyonoides	Nyctereutes procyonoides		2	UNCHANGED	NO
Odocoileus virginianus	Odocoileus virginianus		2	UNCHANGED	NO
Odocoilus hemionus	Odocoilus hemionus		2	UNCHANGED	NO
Ovis dalli stonei	Ovis dalli stonei		2	UNCHANGED	NO
Pagophilus groenlandicus	Pagophilus groenlandicus		2	UNCHANGED	NO
Pan paniscus (bonobo)	Pan paniscus (bonobo)		2	UNCHANGED	NO
Papio	Papio		2	UNCHANGED	NO
Papio hamadryas	Papio hamadryas		2	UNCHANGED	NO
Papio ursinus	Papio ursinus		2	UNCHANGED	NO
Phascolarctos cinereus (koala)	Phascolarctos cinereus (koala)		2	UNCHANGED	NO
Phocoena phocoena	Phocoena phocoena		2	UNCHANGED	NO
Pigs	Pigs		2	UNCHANGED	NO
Piliocolobus badius	Piliocolobus badius		2	UNCHANGED	NO
Pionites leucogaster	Pionites leucogaster		2	UNCHANGED	NO
Pipistrellus kuhlii	Pipistrellus kuhlii		2	UNCHANGED	NO
Pithecia pithecia pithecia	Pithecia pithecia pithecia		2	UNCHANGED	NO
Poephagus grunniens (yak)	Poephagus grunniens (yak)		2	UNCHANGED	NO
Pontoporia blainvillei	Pontoporia blainvillei		2	UNCHANGED	NO
Procyon cancrivorus (crab-eating raccoon)	Procyon cancrivorus (crab-eating raccoon)		2	UNCHANGED	NO
Pseudalopex fulvipes	Pseudalopex fulvipes		2	UNCHANGED	NO
Pseudemys concinna concinna (Eastern river cooter)	Pseudemys concinna concinna (Eastern river cooter)		2	UNCHANGED	NO
Pteropus scapulatus	Pteropus scapulatus		2	UNCHANGED	NO
Pusa hispida	Pusa hispida		2	UNCHANGED	NO
Qingyuan partridge chicken	Qingyuan partridge chicken		2	UNCHANGED	NO
Rangifer tarandus (mountain reindeer); male	Rangifer tarandus (mountain reindeer)		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Rangifer tarandus granti (Caribou)	Rangifer tarandus granti (Caribou)		2	UNCHANGED	NO
Rangifer tarandus tarandus	Rangifer tarandus tarandus		2	UNCHANGED	NO
Rousettus aegyptiacus (Egyptian fruit bat)	Rousettus aegyptiacus (Egyptian fruit bat)		2	UNCHANGED	NO
Rusa timorensis (synonym: Cervus timorensis; rusa deer)	Rusa timorensis (synonym: Cervus timorensis		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
SPF-chicken	SPF-chicken		2	UNCHANGED	NO
Sacred kingfisher	Sacred kingfisher		2	UNCHANGED	NO
Saimiri scireus	Saimiri scireus		2	UNCHANGED	NO
Saimiri sciureus albigena	Saimiri sciureus albigena		2	UNCHANGED	NO
Siberian tigris	Siberian tigris		2	UNCHANGED	NO
Stenella coeruleoalba; female	Stenella coeruleoalba		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
Stenella longirostris	Stenella longirostris		2	UNCHANGED	NO
Stigmochelys pardalis	Stigmochelys pardalis		2	UNCHANGED	NO
Sturnira tildae	Sturnira tildae		2	UNCHANGED	NO
Sus barbatus	Sus barbatus		2	UNCHANGED	NO
Sus scrofa (swine)	Sus scrofa (swine)		2	UNCHANGED	NO
Tamias striatus	Tamias striatus		2	UNCHANGED	NO
Tragulus kanchil	Tragulus kanchil		2	UNCHANGED	NO
Trichechus inunguis	Trichechus inunguis		2	UNCHANGED	NO
Turkey	Turkey		2	UNCHANGED	NO
Tursiops truncatus (captive juvenile male bottlenose dolphin) K231	Tursiops truncatus (captive juvenile male bottlenose dolphin) K231		2	UNCHANGED	NO
Ursus maritimus (polar bear)	Ursus maritimus (polar bear)		2	UNCHANGED	NO
Vombatus ursinus	Vombatus ursinus		2	UNCHANGED	NO
Vulpes vulpes (red fox)	Vulpes vulpes (red fox)		2	UNCHANGED	NO
baboon	baboon		2	UNCHANGED	NO
backyard flocks	Backyard flocks		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
bear	bear		2	UNCHANGED	NO
bird	bird		2	UNCHANGED	NO
blackbuck (indian antelope)	blackbuck (indian antelope)		2	UNCHANGED	NO
bottlenose dolphin	Bottlenose dolphin		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
broiler	broiler		2	UNCHANGED	NO
cattle (1 year)	cattle (1 year)		2	UNCHANGED	NO
cattle; female	cattle		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
darcopsis wallaby	Darcopsis wallaby		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
feral pigeons	Feral pigeons		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
feral swine	Feral swine		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
gazelle	gazelle		2	UNCHANGED	NO
goose	goose		2	UNCHANGED	NO
green turtle	Green turtle		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
horse; native breed	horse		2	TRUNCATE_AT_FIRST_SEMICOLON	YES
layer	layer		2	UNCHANGED	NO
native chicken	Native chicken		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
new born calf	new born calf		2	UNCHANGED	NO
nude mouse-passaged nasopharyngeal carcinoma tissues	nude mouse-passaged nasopharyngeal carcinoma tissues		2	UNCHANGED	NO
olive baboon	Olive baboon		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
pig-tailed macaque	Pig-tailed macaque		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
poultry layer	Poultry layer		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
quail	quail		2	UNCHANGED	NO
racing pigeon	Racing pigeon		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
red fox	Red fox		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
roan antelope	Roan antelope		2	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
thorouhgbred horse; male	Thorouhgbred horse		2	TRUNCATE_AT_FIRST_SEMICOLON;STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
vaccinated Indian Native Assel Chicken breed	vaccinated Indian Native Assel Chicken breed		2	UNCHANGED	NO
vaccinated White Leghorn	vaccinated White Leghorn		2	UNCHANGED	NO
wildebeest	wildebeest		2	UNCHANGED	NO
Abrornis inornata	Abrornis inornata		1	UNCHANGED	NO
Accipiter cooperii	Accipiter cooperii		1	UNCHANGED	NO
Addax, Arabian oryx	Addax, Arabian oryx		1	UNCHANGED	NO
Addax, Indian axis deer, Nile lechwe, Uganda kob	Addax, Indian axis deer, Nile lechwe, Uganda kob		1	UNCHANGED	NO
Aepyceros melampus	Aepyceros melampus		1	UNCHANGED	NO
Aepyceros melampus (Impala)	Aepyceros melampus (Impala)		1	UNCHANGED	NO
Aloautta guariba clamitans (red howler monkey)	Aloautta guariba clamitans (red howler monkey)		1	UNCHANGED	NO
Alouatta macconnelli	Alouatta macconnelli		1	UNCHANGED	NO
Alouatta palliata	Alouatta palliata		1	UNCHANGED	NO
Alpine ibex, Angolan roan antelope, East African eland, White-lipped deer	Alpine ibex, Angolan roan antelope, East African eland, White-lipped deer		1	UNCHANGED	NO
Amazona aestiva (blue-fronted Amazon parrot)	Amazona aestiva (blue-fronted Amazon parrot)		1	UNCHANGED	NO
Amazona amazonica	Amazona amazonica		1	UNCHANGED	NO
Anarhynchus wilsonia (Wilson's Plover)	Anarhynchus wilsonia (Wilson's Plover)		1	UNCHANGED	NO
Anas acuta	Anas acuta		1	UNCHANGED	NO
Anas platyrhynchos domesticus	Anas platyrhynchos domesticus		1	UNCHANGED	NO
Anas platyrhynchos domesticus (duck)	Anas platyrhynchos domesticus (duck)		1	UNCHANGED	NO
Anas platyrhynchos domesticus (duck); sex male; breed Khaki Campbell	Anas platyrhynchos domesticus (duck)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Anas platyrhynchos; sex: male; breed: Khaki Campbell	Anas platyrhynchos		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Anatid species	Anatid species		1	UNCHANGED	NO
Anatidae sp.	Anatidae sp.		1	UNCHANGED	NO
Anodorhynchus hyacinthinus	Anodorhynchus hyacinthinus		1	UNCHANGED	NO
Anser anser; ACDP:17-01508	Anser anser		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Anser anser; ACDP:21-00380	Anser anser		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Anser anser; ACDP:89-0066	Anser anser		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Antechinus	Antechinus		1	UNCHANGED	NO
Aonyx cinerea (oriental small-clawed otter)	Aonyx cinerea (oriental small-clawed otter)		1	UNCHANGED	NO
Aotus azarai	Aotus azarai		1	UNCHANGED	NO
Aotus vociferans	Aotus vociferans		1	UNCHANGED	NO
Apodemus agrarius	Apodemus agrarius		1	UNCHANGED	NO
Apodemus flavicollis voucher 3438	Apodemus flavicollis voucher 3438		1	UNCHANGED	NO
Apodemus sp.	Apodemus sp.		1	UNCHANGED	NO
Arabian Horse	Arabian horse		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Arabian horse; sudden death old aged horse; 4.5 years	Arabian horse		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arabian horse; sudden death young foal	Arabian horse		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arabian horse; sudden death young foal; 2 months	Arabian horse		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arabian horse; sudden death young foal; 4 month	Arabian horse		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arabian horse; sudden death young foal; 54 days	Arabian horse		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arctocephalus australis (South American fur seal)	Arctocephalus australis (South American fur seal)		1	UNCHANGED	NO
Arctocephalus australis (South American fur seal); sex: male	Arctocephalus australis (South American fur seal)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arctocephalus tropicalis	Arctocephalus tropicalis		1	UNCHANGED	NO
Ardea cinerea	Ardea cinerea		1	UNCHANGED	NO
Ardenna gravis (Great Shearwater); adult male	Ardenna gravis (Great Shearwater)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Artibeus lituratus	Artibeus lituratus		1	UNCHANGED	NO
Artibeus planirostris	Artibeus planirostris		1	UNCHANGED	NO
Arvicola terrestris	Arvicola terrestris		1	UNCHANGED	NO
Asian elephant; male	Asian elephant		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Asiatic elephant	Asiatic elephant		1	UNCHANGED	NO
Ateles fusciceps robutus	Ateles fusciceps robutus		1	UNCHANGED	NO
Ateles geoffroyi	Ateles geoffroyi		1	UNCHANGED	NO
Atlantic bottlenose dolphin	Atlantic bottlenose dolphin		1	UNCHANGED	NO
Atlantic striped dolphin	Atlantic striped dolphin		1	UNCHANGED	NO
Australian domestic geese	Australian domestic geese		1	UNCHANGED	NO
Babyrousa babyrussa	Babyrousa babyrussa		1	UNCHANGED	NO
Backyard turkey	Backyard turkey		1	UNCHANGED	NO
Bactrian camel	Bactrian camel		1	UNCHANGED	NO
Balaenoptera brydei	Balaenoptera brydei		1	UNCHANGED	NO
Balaenoptera physalus	Balaenoptera physalus		1	UNCHANGED	NO
Bandicota savilei voucher 4339	Bandicota savilei voucher 4339		1	UNCHANGED	NO
Blackbuck, Cretan wild goat	Blackbuck, Cretan wild goat		1	UNCHANGED	NO
Blainville's beaked whale (Mesoplodon densirostris)	Blainville's beaked whale (Mesoplodon densirostris)		1	UNCHANGED	NO
Blainville's beaked whale K285	Blainville's beaked whale K285		1	UNCHANGED	NO
Bos Taurus	Bos taurus		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Bos frontalis gaurus	Bos frontalis gaurus		1	UNCHANGED	NO
Bos indicus breed Khillar	Bos indicus breed Khillar		1	UNCHANGED	NO
Bos taurus Ind-293521	Bos taurus Ind-293521		1	UNCHANGED	NO
